id_rodada,trecho,refatoracao_tipo,persona,replica,status,complexity_base,complexity_pos,complexity_delta,smells_base,smells_pos,smells_delta,tempo_execucao_seg,token_count,prompt_tokens,candidates_tokens
119,Math_1_ReplaceMagicNumber_189,ReplaceMagicNumber,P-4,1,VALIDO,8,8,0,0,0,0,41.98,3210,834,813
120,Math_1_ReplaceMagicNumber_189,ReplaceMagicNumber,P-4,2,VALIDO,8,8,0,0,0,0,41.17,3804,834,813
121,Math_1_ReplaceMagicNumber_110,ReplaceMagicNumber,P-1,1,VALIDO,5,5,0,5,5,0,51.25,3565,979,1039
122,Math_1_ReplaceMagicNumber_110,ReplaceMagicNumber,P-1,2,VALIDO,5,5,0,5,5,0,47.29,5617,979,885
123,Math_1_ReplaceMagicNumber_110,ReplaceMagicNumber,P-2,1,VALIDO,5,5,0,5,5,0,47.54,4567,923,1053
124,Math_1_ReplaceMagicNumber_110,ReplaceMagicNumber,P-2,2,VALIDO,5,5,0,5,5,0,50.37,3490,923,1034
125,Math_1_ReplaceMagicNumber_110,ReplaceMagicNumber,P-3,1,VALIDO,5,5,0,5,5,0,44.39,5148,930,1070
126,Math_1_ReplaceMagicNumber_110,ReplaceMagicNumber,P-3,2,VALIDO,5,5,0,5,5,0,45.52,3392,930,1050
127,Math_1_ReplaceMagicNumber_110,ReplaceMagicNumber,P-4,1,VALIDO,5,5,0,5,5,0,45.29,3678,951,1047
128,Math_1_ReplaceMagicNumber_110,ReplaceMagicNumber,P-4,2,VALIDO,5,5,0,5,5,0,40.66,4144,951,1055
129,Math_1_ReplaceMagicNumber_163,ReplaceMagicNumber,P-1,1,VALIDO,13,13,0,3,3,0,45.39,5484,943,997
130,Math_1_ReplaceMagicNumber_163,ReplaceMagicNumber,P-1,2,VALIDO,13,13,0,3,3,0,39.14,5044,943,997
131,Math_1_ReplaceMagicNumber_163,ReplaceMagicNumber,P-2,1,VALIDO,13,13,0,3,3,0,40.66,3264,887,971
132,Math_1_ReplaceMagicNumber_163,ReplaceMagicNumber,P-2,2,VALIDO,13,13,0,3,3,0,44.21,3733,887,981
133,Math_1_ReplaceMagicNumber_163,ReplaceMagicNumber,P-3,1,VALIDO,13,13,0,3,3,0,50.29,3512,894,961
134,Math_1_ReplaceMagicNumber_163,ReplaceMagicNumber,P-3,2,VALIDO,13,13,0,3,3,0,48.26,3412,894,968
135,Math_1_ReplaceMagicNumber_163,ReplaceMagicNumber,P-4,1,VALIDO,13,13,0,3,3,0,44.36,3651,915,978
136,Math_1_ReplaceMagicNumber_163,ReplaceMagicNumber,P-4,2,VALIDO,13,13,0,3,3,0,44.37,4822,915,968
137,Math_1_ReplaceMagicNumber_181,ReplaceMagicNumber,P-1,1,VALIDO,8,8,0,0,0,0,48.71,5722,1103,1128
138,Math_1_ReplaceMagicNumber_181,ReplaceMagicNumber,P-1,2,VALIDO,8,8,0,0,0,0,45.31,6565,1103,1131
139,Math_1_ReplaceMagicNumber_181,ReplaceMagicNumber,P-2,1,VALIDO,8,8,0,0,0,0,49.94,3780,1047,1118
140,Math_1_ReplaceMagicNumber_181,ReplaceMagicNumber,P-2,2,VALIDO,8,8,0,0,0,0,43.85,3617,1047,1110
141,Math_1_ReplaceMagicNumber_181,ReplaceMagicNumber,P-3,1,VALIDO,8,8,0,0,0,0,46.01,4335,1054,1106
